Date,Store ID,Product ID,Units Sold,Price,Discount,Competitor Pricing,Inventory Level
2024-01-01,S001,P0001,96,11.46744087359019,1.3614109031095336,13.225516810152824,139
2024-01-02,S001,P0001,109,10.070399113575423,1.0618691666342728,13.344620298315498,139
2024-01-03,S001,P0001,104,10.994212020444026,0.8955663291461833,14.320837825359515,111
2024-01-04,S001,P0001,100,13.55670976374325,1.105786178142656,11.150926341207777,72
2024-01-05,S001,P0001,97,13.950877702656028,1.185393447758787,12.495966899423761,58
2024-01-06,S001,P0001,96,13.029799873905057,0.1617066526654305,12.860020996045915,61
2024-01-07,S001,P0001,108,14.631504392566745,0.7393089121228089,13.842770071531545,50
2024-01-08,S001,P0001,100,13.255385127509722,0.48431987655485176,10.218018858772169,107
2024-01-09,S001,P0001,100,14.574798377718903,1.6062795127597917,14.972752553986705,50
2024-01-10,S001,P0001,93,14.250192888948996,0.9406012688920768,12.349722569954714,83
2024-01-11,S001,P0001,97,12.247253370691016,1.966846281789686,11.397801708983792,145
2024-01-12,S001,P0001,92,10.477050582452057,0.7976488848891061,14.417470111331294,97
2024-01-13,S001,P0001,91,11.854091260991332,1.6328637464387679,13.738593869487069,138
2024-01-14,S001,P0001,101,13.344206263318036,1.5966902499691022,14.765359235119766,50
2024-01-15,S001,P0001,95,13.329611783087483,0.30143508793085894,11.653751523352568,65
2024-01-16,S001,P0001,200,12.956488938538635,1.0163975534814373,12.763824834177449,110
2024-01-17,S001,P0001,90,11.373608964950321,1.3916256135817637,12.861462345854191,113
2024-01-18,S001,P0001,101,12.806217129238506,1.7167176096274397,14.901657918580227,112
2024-01-19,S001,P0001,101,11.91463437376895,0.6519178104037695,10.376731280030642,118
2024-01-20,S001,P0001,106,14.858560476945518,0.4404820951310966,11.52848509643591,71
2024-01-21,S001,P0001,99,14.24456912133042,1.4222990648760356,10.95455515575173,142
2024-01-22,S001,P0001,105,13.608647605824366,1.6190020922794308,11.342374284450784,116
2024-01-23,S001,P0001,104,11.17992459874478,0.6973319745834587,12.426399371381578,125
2024-01-24,S001,P0001,104,11.28034161380662,0.19235310218284152,11.863434335470247,75
2024-01-25,S001,P0001,108,10.202167947692157,1.881046528979208,11.97345733404736,65
2024-01-26,S001,P0001,101,13.553314448428937,0.7951440421750446,14.221065703631556,100
2024-01-27,S001,P0001,109,10.554454104059158,1.0355027010549602,14.65008417405416,135
2024-01-28,S001,P0001,92,12.19668250932885,1.675420211814656,10.35208065424772,106
2024-01-29,S001,P0001,94,11.008596011676982,1.3513802340785614,11.0445935880768,78
2024-01-30,S001,P0001,108,14.478817978367598,1.4704322384815443,13.355717584120253,127
2024-01-31,S001,P0001,96,12.376851115910558,0.41814324147542736,11.79323390648082,141
2024-02-01,S001,P0001,98,12.816377859881918,1.0828959476551316,11.270818245348694,118
2024-02-02,S001,P0001,96,13.477580432130637,1.3915687986901644,11.476452942094694,96
